Student ID,Section ID
ST001,S006
ST001,S007
ST001,S013
ST001,S010
ST001,S012
ST001,S003
ST001,S029
ST002,S002
ST002,S004
ST002,S007
ST002,S009
ST002,S015
ST002,S026
ST002,S011
ST002,S022
ST003,S006
ST003,S018
ST003,S007
ST003,S009
ST003,S013
ST003,S012
ST003,S003
ST003,S020
ST004,S002
ST004,S006
ST004,S009
ST004,S011
ST004,S008
ST004,S022
ST005,S002
ST005,S006
ST005,S009
ST005,S013
ST005,S011
ST005,S008
ST006,S027
ST006,S021
ST006,S014
ST006,S025
ST006,S019
ST006,S017
ST006,S022
ST007,S024
ST007,S016
ST007,S021
ST007,S023
ST007,S019
ST007,S015
ST008,S024
ST008,S016
ST008,S023
ST008,S018
ST008,S013
ST008,S020
ST009,S024
ST009,S014
ST009,S018
ST009,S015
ST009,S017
ST009,S020
ST009,S022
ST010,S024
ST010,S016
ST010,S021
ST010,S023
ST010,S014
ST010,S019
ST010,S026
ST011,S024
ST011,S027
ST011,S031
ST011,S014
ST011,S015
ST011,S029
ST012,S031
ST012,S014
ST012,S004
ST012,S028
ST012,S025
ST012,S015
ST012,S026
ST013,S030
ST013,S014
ST013,S028
ST013,S025
ST013,S015
ST013,S026
ST014,S030
ST014,S024
ST014,S013
ST014,S015
ST014,S026
ST014,S029
ST015,S027
ST015,S031
ST015,S028
ST015,S025
ST015,S013
ST015,S015
ST016,S027
ST016,S006
ST016,S001
ST016,S013
ST016,S010
ST016,S011
ST016,S008
ST017,S018
ST017,S025
ST017,S015
ST017,S017
ST017,S020
ST017,S022
ST018,S030
ST018,S027
ST018,S028
ST018,S025
ST018,S013
ST018,S015
ST019,S027
ST019,S002
ST019,S018
ST019,S004
ST019,S010
ST019,S015
ST019,S012
ST019,S008
ST020,S023
ST020,S014
ST020,S018
ST020,S025
ST020,S017
ST020,S020
ST021,S030
ST021,S001
ST021,S005
ST021,S007
ST021,S010
ST021,S015
ST021,S011
ST022,S004
ST022,S007
ST022,S009
ST022,S026
ST022,S012
ST022,S003
ST023,S024
ST023,S016
ST023,S021
ST023,S018
ST023,S015
ST023,S022
ST024,S030
ST024,S028
ST024,S025
ST024,S013
ST024,S015
ST024,S026
ST025,S001
ST025,S005
ST025,S013
ST025,S010
ST025,S012
ST025,S008
ST026,S024
ST026,S016
ST026,S021
ST026,S019
ST026,S015
ST026,S022
ST027,S030
ST027,S024
ST027,S027
ST027,S014
ST027,S028
ST027,S015
ST028,S001
ST028,S005
ST028,S009
ST028,S013
ST028,S012
ST028,S008
ST028,S029
ST029,S002
ST029,S023
ST029,S005
ST029,S007
ST029,S010
ST029,S015
ST029,S011
ST030,S023
ST030,S018
ST030,S025
ST030,S013
ST030,S017
ST030,S020
